month,industry_id,imports_value_usd,exports_value_usd,official_platform_latest_period
2026-03,semiconductor_ai,,,2026-05
2026-03,memory,,,2026-05
2026-03,computing,,,2026-05
2026-03,telecom,,,2026-05
2026-03,battery_energy,,,2026-05
2026-03,solar,,,2026-05
2026-03,industrial_automation,,,2026-05
2026-03,healthcare_lab,,,2026-05
2026-03,gaming,,,2026-05
2026-04,semiconductor_ai,,,2026-05
2026-04,memory,,,2026-05
2026-04,computing,,,2026-05
2026-04,telecom,,,2026-05
2026-04,battery_energy,,,2026-05
2026-04,solar,,,2026-05
2026-04,industrial_automation,,,2026-05
2026-04,healthcare_lab,,,2026-05
2026-04,gaming,,,2026-05
2026-05,semiconductor_ai,,,2026-05
2026-05,memory,,,2026-05
2026-05,computing,,,2026-05
2026-05,telecom,,,2026-05
2026-05,battery_energy,,,2026-05
2026-05,solar,,,2026-05
2026-05,industrial_automation,,,2026-05
2026-05,healthcare_lab,,,2026-05
2026-05,gaming,,,2026-05
